Nom de la classe,Autres labels,Description,Hiérarchie (classe parent),Propriétés de données,Propriétés d'objet,English name,Alternative labels (EN),Description (EN)
Logiciel,,"Ressource numérique identifiée, utilisée par une plateforme technologique pour produire, analyser, traiter, visualiser ou stocker des données dans le cadre de ses expertises et services.",Ressource,Version du logiciel (https://www.notion.so/Version-du-logiciel-31a3fe2b3f21805ca751dd1c0f94748e?pvs=21),,Software,,"An identified digital resource used by a technology platform to produce, analyze, process, visualize, or store data as part of its expertise and services."
Ressource,,"Moyen mis à disposition pour soutenir l'enseignement, la recherche et les services. Parmi les ressources, on retrouve des équipements, des services, des logiciels, des expertises, des infrastructures. ",,,"a comme conditions d'accès (https://www.notion.so/a-comme-conditions-d-acc-s-3103fe2b3f21818084c6e04910d39412?pvs=21), est associé à une autre ressource (https://www.notion.so/est-associ-une-autre-ressource-31a3fe2b3f2180048d95e89cdb598d12?pvs=21), est mutualisé avec (https://www.notion.so/est-mutualis-avec-31a3fe2b3f2180b49ec6d4885bf85cad?pvs=21)",Resource,,"A means made available to support teaching, research, and services. Resources include equipment, services, software, expertise, and infrastructures."
Equipe,Team,"Ensemble des personnes contribuant de manière structurée au fonctionnement scientifique, technique ou opérationnel d'une plateforme technologique.",,,,Team,Team,"A group of people contributing in a structured way to the scientific, technical, or operational functioning of a technology platform."
Identité scientifique numérique,,"Ensemble des identifiants persistants et profils en ligne permettant d'identifier de manière univoque un chercheur ou un membre d'une plateforme dans les écosystèmes académiques, scientifiques et professionnels numériques.
Exemple : profil ORBI, identifiant ORCID, profil LinkedIn, Google Scholar",,"Profil ORBI (https://www.notion.so/Profil-ORBI-31a3fe2b3f2180ac9305e74c84a12a64?pvs=21), ORCID (https://www.notion.so/ORCID-31a3fe2b3f218048906df82d80e30619?pvs=21), Google Scholar (https://www.notion.so/Google-Scholar-31a3fe2b3f21809ca96ef5372a8227fa?pvs=21)",,Digital Scientific Identity,,"A set of persistent identifiers and online profiles that make it possible to identify uniquely a researcher or platform member within academic, scientific, and professional digital ecosystems. Example: ORBI profile, ORCID identifier, LinkedIn profile, Google Scholar."
Cas d'usage,,"Application concrète et contextualisée des ressources d'une plateforme dans un objectif scientifique, clinique, technologique ou industriel déterminé.",,,,Use Case,,"A concrete and contextualized application of a platform's resources for a specific scientific, clinical, technological, or industrial purpose."
Impact,,"L'impact désigne la capacité d'une plateforme à exercer une influence, une visibilité et une reconnaissance au-delà de son périmètre immédiat, à l'échelle institutionnelle, nationale ou internationale.
Exemple : production scientifique, retour d'expérience (témoignage), article de presse",,,,Impact,,"Impact refers to a platform's ability to exert influence, visibility, and recognition beyond its immediate perimeter, at the institutional, national, or international level. Example: scientific output, feedback/testimonial, press article."
Retour d'expérience,,"Information fournie par un utilisateur ou un bénéficiaire décrivant son vécu, son avis ou son appréciation concernant une ressource ou une plateforme.
Il permet d'apporter un éclairage concret sur son utilisation, sa qualité, son efficacité ou sa pertinence.

",Impact,"Témoignage (https://www.notion.so/T-moignage-3253fe2b3f2180039221da129723d0f8?pvs=21), Témoignant (https://www.notion.so/T-moignant-3253fe2b3f2180a0bf91fd84497b1a27?pvs=21)",,Feedback,,"Information provided by a user or beneficiary describing their experience, opinion, or assessment of a resource or platform. It provides concrete insight into its use, quality, effectiveness, or relevance."
Article de presse,,"Article, vidéos apparus dans la presse qui parle de la plateforme.",Impact,,,Press Article,,An article or video appearing in the media that talks about the platform.
Gouvernance,,"Ensemble des informations relatives à la gouvernance qui structure, coordonne et oriente les plateformes au sein des clusters thématiques ou institutionnels.
Exemple : CARE, plateforme thématique, plateau technologique",,,Plateforme technologique est dans plateforme thématique (https://www.notion.so/Plateforme-technologique-est-dans-plateforme-th-matique-31a3fe2b3f21801daee5fc5f68b515b9?pvs=21),Governance,,"The set of information related to the governance that structures, coordinates, and guides platforms within thematic or institutional clusters. Example: CARE, thematic platform, technology facility."
Bâtiment,,"Exemple : B60, B28, B4, …",Localisation,,,Building,,"Example: B60, B28, B4, etc."
Campus,,"Exemple : Campus d'Arlon, Campus de Gembloux, Campus de Liège Centre-Ville, Campus de Liège Sart Tilman",Localisation,,,Campus,,"Example: Arlon Campus, Gembloux Campus, Liège City Centre Campus, Liège Sart Tilman Campus."
Bénéficiaire,,"Public cible d'une ressource. Indique qui peut bénéficier des ressources d'une plateforme.
Exemple : chercheurs XXX, Autres universités, entreprises, centres de recherche",Conditions d'accès,Type de bénéficiaire (https://www.notion.so/Type-de-b-n-ficiaire-3253fe2b3f21804d96c4cf06ebba38a9?pvs=21),,Beneficiary,,"The target audience of a resource. Indicates who can benefit from a platform's resources. Example: XXX researchers, other universities, companies, research centers."
Infrastructure,,"Installation spécialisée fournissant l'environnement physique et technique nécessaire à des activités scientifiques ou expérimentales.
Exemples : salle blanche (clean room), laboratoire de culture cellulaire, serre expérimentale, chambre climatique, animalerie, installation de confinement biologique",Ressource,Caractéristique de l'infrastructure (https://www.notion.so/Caract-ristique-de-l-infrastructure-31a3fe2b3f2180f18f53c7fa6d52c693?pvs=21),,Infrastructure,,"A specialized installation providing the physical and technical environment necessary for scientific or experimental activities. Examples: clean room, cell culture laboratory, experimental greenhouse, climate chamber, animal facility, biological containment facility."
Norme de sécurité,,"Ensemble de règles, standards et procédures techniques visant à garantir la protection des personnes, des équipements, de l'environnement et des données lors de l'utilisation d'une infrastructure ou de la réalisation d'activités scientifiques.
Ces normes définissent les conditions de manipulation, d'accès, d'exploitation et de maintenance des installations.
Exemples : niveaux de biosécurité (BSL1, BSL2, BSL3), règles de confinement biologique, normes de sécurité laser, protocoles de manipulation chimique",Garantie de qualité,,,Safety Standard,,"A set of rules, standards, and technical procedures aimed at ensuring the protection of people, equipment, the environment, and data during the use of an infrastructure or the conduct of scientific activities. These standards define the conditions for handling, access, operation, and maintenance of facilities. Examples: biosafety levels (BSL1, BSL2, BSL3), biological containment rules, laser safety standards, chemical handling protocols."
Conformité,,"Respect des lois, règlements et exigences légales applicables aux activités scientifiques, aux infrastructures et aux équipements dans un cadre institutionnel, national ou international.
Elle garantit que les activités menées respectent les obligations légales et les cadres réglementaires en vigueur.
Exemples :
réglementation sur l'expérimentation animale
autorisations biosécurité, réglementation sur les substances chimiques",Garantie de qualité,,,Compliance,,"Compliance with the laws, regulations, and legal requirements applicable to scientific activities, infrastructures, and equipment in an institutional, national, or international framework. It ensures that carried-out activities comply with legal obligations and the regulatory frameworks in force. Examples: regulations on animal experimentation; biosafety authorizations; regulations on chemical substances."
Garantie de qualité,,"Ensemble des preuves qu'une plateforme ou une ressource répond à des standards reconnus de qualité, de sécurité et de conformité.
Elle s'appuie notamment sur des accréditations, certifications et normes applicables.",,Portée de la garantie de qualité (https://www.notion.so/Port-e-de-la-garantie-de-qualit-31a3fe2b3f21806982f6e6bc3bc9e165?pvs=21),,Quality Assurance,,"The set of evidence showing that a platform or resource meets recognized standards of quality, safety, and compliance. It relies in particular on applicable accreditations, certifications, and standards."
Plateforme institutionnelle,,“Plateforme” (ou groupe de plateformes/ CARE) qui a été estampillée “XXX”. Plateforme reconnue par l'institution.,,,,Institutional Platform,,A “platform” (or group of platforms / CARE) that has been labeled “XXX”. A platform recognized by the institution.
Accréditation,,"Accréditation attestant la compétence technique et la capacité à réaliser des essais, analyses ou certifications. C'est une reconnaissance de la compétence.",Garantie de qualité,,,Accreditation,,"An accreditation attesting technical competence and the ability to carry out tests, analyses, or certifications. It is a recognition of competence."
Coordonnées,,"Informations permettant de contacter une personne, une plateforme, une organisation. Elles comprennent généralement l'adresse e-mail, le numéro de téléphone, l'adresse postale ou tout autre moyen de communication.",,,,Contact Details,,"Information that makes it possible to contact a person, platform, or organization. It generally includes an email address, phone number, postal address, or any other means of communication."
Photo,,"Image permettant de représenter visuellement une personne, une ressource (par exemple un équipement), un lieu ou tout autre élément pertinent.
Elle sert à illustrer, identifier ou documenter cet élément.

",Image,,,Photograph,,"An image used to visually represent a person, a resource (for example, equipment), a place, or any other relevant element. It serves to illustrate, identify, or document that element."
Laboratoire de recherche,,Equipe ou une structure académique consacrée à des activités de recherche dans un domaine spécifique. Un laboratoire de recherche est rattaché à une unité de recherche facultaire ou interfacultaire. ,,,"Labo est dans UR (https://www.notion.so/Labo-est-dans-UR-3253fe2b3f2180f0a4e5f01a9b2a57e0?pvs=21), Labo est dans URI (https://www.notion.so/Labo-est-dans-URI-3253fe2b3f21800a8e65fc0baeaa6744?pvs=21)",Research Laboratory,,A team or academic structure dedicated to research activities in a specific field. A research laboratory is attached to a faculty-based or interfaculty research unit.
Implantations du CHU de Liège,,"Exemples: Sart Tilman, Lucien Brull",Localisation,,,CHU of Liège Sites,,"Examples: Sart Tilman, Lucien Brull."
Autre,,"Exemple : CSL, Département, etc. ",Organisation,,,Other,,"Example: CSL, Department, etc."
Acknowledgement,,"Mention explicite de reconnaissance indiquant qu'un financement, un soutien, une contribution ou une collaboration a participé à la réalisation d'un projet, d'une publication, d'un équipement ou d'une activité.
Reconnaissance du financement, remerciements à mettre dans une publication, etc. ",,"Source du financement (https://www.notion.so/Source-du-financement-32c3fe2b3f2180dc9af4db51968ccedd?pvs=21), Texte pour publication (https://www.notion.so/Texte-pour-publication-32c3fe2b3f2180a48e45d91e692ae625?pvs=21)",,Acknowledgement,,"An explicit statement of recognition indicating that funding, support, a contribution, or a collaboration contributed to the completion of a project, publication, piece of equipment, or activity. Recognition of funding, acknowledgements to include in a publication, etc."
