Nom de la classe,Hiérarchie (classe parent),Autres labels,Description,Propriétés de données,Propriétés d’objet
Localisation,,,"Informations permettant de situer précisément une personne, une ressource ou tout autre élément dans un espace donné.
Elle peut inclure, par exemple, une adresse, un campus, un bâtiment, un étage ou un local.

","Adresse (https://www.notion.so/Adresse-31a3fe2b3f2180ffaa82e56b8feaf0ad?pvs=21), Etage (https://www.notion.so/Etage-31a3fe2b3f2180e487bad6c34d15fb5a?pvs=21), Local (https://www.notion.so/Local-31a3fe2b3f21806da47de5170d54e6ba?pvs=21)",
Bâtiment,Localisation,,"Exemple : B60, B28, B4, …",,
Campus,Localisation,,"Exemple : Campus d’Arlon, Campus de Gembloux, Campus de Liège Centre-Ville, Campus de Liège Sart Tilman",,
Implantations du CHU de Liège,Localisation,,"Exemples: Sart Tilman, Lucien Brull",,
Organisation,,,"Entité institutionnelle, structurée et reconnue par l’université.
Exemple : faculté, unité de recherche, CSRV ",,
CSRV,Organisation,,"Conseil sectoriel de la recherche et de la valorisation.
Exemple : CSRV-SS, CSRV-ST, CSRV-SH",,
Faculté,Organisation,,"Composante d’une université organisée autour d’un domaine d’enseignement et de recherche.
Elle permet de situer institutionnellement une personne ou une ressource, par exemple.
Exemple : Faculté de Médecine, Faculté des Sciences",,"Faculté fait partie de CSRV (https://www.notion.so/Facult-fait-partie-de-CSRV-3103fe2b3f21819ba1d6d86047a5df8b?pvs=21), Faculté est dans CSRV (https://www.notion.so/Facult-est-dans-CSRV-3253fe2b3f21806d9812d3aae2bfaa34?pvs=21)"
UR,Organisation,,"Unité de recherche facultaire. Groupe structuré de chercheurs travaillant sur des thématiques scientifiques communes. ",,UR est dans Faculté (https://www.notion.so/UR-est-dans-Facult-3103fe2b3f2181eabf55c3e8e1de2c60?pvs=21)
URI,Organisation,,Unité de recherche interfacultaire.,,URI est dans CSRV (https://www.notion.so/URI-est-dans-CSRV-3103fe2b3f2181fba7b8d1fd3815aa93?pvs=21)
Autre,Organisation,,"Exemple : CSL, Département, etc. ",,
Personne,,,"Individu physique impliqué dans une plateforme ou des ressources.
Elle peut être identifiée et contactée via des informations telles que son nom, ses coordonnées et sa fonction. Elle est rattachée à une unité de recherche, une faculté.

","Fonction (https://www.notion.so/Fonction-3103fe2b3f2181cab857f8e54b57edba?pvs=21), Prénom (https://www.notion.so/Pr-nom-31a3fe2b3f218041989afd6b96d9bdff?pvs=21)","a comme identité scientifique numérique (https://www.notion.so/a-comme-identit-scientifique-num-rique-31a3fe2b3f2180dca67de48bd304a049?pvs=21), fait partie de l’équipe (https://www.notion.so/fait-partie-de-l-quipe-32c3fe2b3f2180319259fbcd5eba1003?pvs=21)"
Responsable,Personne,,"Responsable d’une plateforme technologique. Personne officiellement désignée pour assurer la supervision scientifique, stratégique et/ou opérationnelle de la plateforme technologique.",,
Plateforme institutionnelle,,,“Plateforme” (ou groupe de plateformes/ CARE) qui a été estampillée “ULiège”. Plateforme reconnue par l’institution.,,
Plateforme technologique,,Plateau technologique,"Infrastructure de recherche à la pointe de la technologie (suivant la définition du FNRS). Une infrastructure de recherche est une installation spécialisée qui fournit des ressources et des services à la communauté scientifique pour permettre de conduire des recherches à la pointe au niveau scientifique et technologique dans différents domaines. ",Maquette promotionnelle (https://www.notion.so/Maquette-promotionnelle-31a3fe2b3f218038b079f30ed3fb4665?pvs=21),"a comme ressource (https://www.notion.so/a-comme-ressource-31a3fe2b3f2180b79880d70cd4b45c9e?pvs=21), a comme cas d’usage (https://www.notion.so/a-comme-cas-d-usage-31a3fe2b3f218044bb5bf75d88c937f2?pvs=21), est sous la gourvenance de (https://www.notion.so/est-sous-la-gourvenance-de-31a3fe2b3f2180f58f97e398ccd95c65?pvs=21), a comme équipe (https://www.notion.so/a-comme-quipe-3253fe2b3f218059a44fd7e18e843394?pvs=21), est une plateforme institutionnelle (https://www.notion.so/est-une-plateforme-institutionnelle-3253fe2b3f2180bf91b5d4c020bae2ea?pvs=21)"
Plateforme thématique,,,"Une plateforme thématique regroupe différentes plateformes technologiques / plateaux. ",,Plateforme thématique est dans CARE (https://www.notion.so/Plateforme-th-matique-est-dans-CARE-31a3fe2b3f218052b563f9cd1fe93c67?pvs=21)
Ressource,,,"Moyen mis à disposition pour soutenir l’enseignement, la recherche et les services. Parmi les ressources, on retrouve des équipements, des services, des logiciels, des expertises, des infrastructures. ",,"a comme conditions d’accès (https://www.notion.so/a-comme-conditions-d-acc-s-3103fe2b3f21818084c6e04910d39412?pvs=21), est associé à une autre ressource (https://www.notion.so/est-associ-une-autre-ressource-31a3fe2b3f2180048d95e89cdb598d12?pvs=21), est mutualisé avec (https://www.notion.so/est-mutualis-avec-31a3fe2b3f2180b49ec6d4885bf85cad?pvs=21)"
Equipement,Ressource,,"Ressource matérielle identifiée, localisée et mobilisable par une plateforme technologique pour soutenir ses expertises et délivrer ses services.","Modèle de l’équipement (https://www.notion.so/Mod-le-de-l-quipement-31a3fe2b3f218098b876c441233bdfc0?pvs=21), Marque de l’équipement (https://www.notion.so/Marque-de-l-quipement-31a3fe2b3f2180e5a9cacbfd2a8921a0?pvs=21)",
Expertise,Ressource,,"Domaine de compétence scientifique ou technologique maîtrisé par une plateforme ou une équipe, reposant sur des connaissances, méthodes et savoir-faire démontrés, et mobilisable dans des projets de recherche ou des collaborations externes.",,
Infrastructure,Ressource,,"Installation spécialisée fournissant l’environnement physique et technique nécessaire à des activités scientifiques ou expérimentales.
Exemples : salle blanche (clean room), laboratoire de culture cellulaire, serre expérimentale, chambre climatique, animalerie, installation de confinement biologique",Caractéristique de l’infrastructure (https://www.notion.so/Caract-ristique-de-l-infrastructure-31a3fe2b3f2180f18f53c7fa6d52c693?pvs=21),
Logiciel,Ressource,,"Ressource numérique identifiée, utilisée par une plateforme technologique pour produire, analyser, traiter, visualiser ou stocker des données dans le cadre de ses expertises et services.",Version du logiciel (https://www.notion.so/Version-du-logiciel-31a3fe2b3f21805ca751dd1c0f94748e?pvs=21),
Service,Ressource,,"Prestation formalisée, structurée et proposée par une plateforme, mobilisant une ou plusieurs expertises et/ou équipements, en réponse à un besoin interne ou externe.
Une prestation est rémunérée ou a un accord différent.
Exemple : analyse, formation, conseil, support technique",,
Acknowledgement,,,"Mention explicite de reconnaissance indiquant qu’un financement, un soutien, une contribution ou une collaboration a participé à la réalisation d’un projet, d’une publication, d’un équipement ou d’une activité.
Reconnaissance du financement, remerciements à mettre dans une publication, etc. ","Source du financement (https://www.notion.so/Source-du-financement-32c3fe2b3f2180dc9af4db51968ccedd?pvs=21), Texte pour publication (https://www.notion.so/Texte-pour-publication-32c3fe2b3f2180a48e45d91e692ae625?pvs=21)",
